mlow,mhigh,ptcut,etcut,mode,order,sigma_fb,unc_stat_fb,unc_lumi_fb,N_selected,N_background,eff,delta_df,delta_ss,data_n_total,data_n_after_mass,data_n_after_iso,data_n_after_mass_and_iso
60,120,8,5,df+ss,df -> ss -> iso,2250161.664948507,459.54462016800903,38252.74830412462,24243350.3188689,89642.84153965811,0.29328442175894087,21273.988358655362,2457.681131097418,26363258,25149399,25394841,24245808
60,120,8,6,none,iso -> df -> ss,2252728.3044282156,457.22944655126054,38296.38117527967,24545950.0,90950.49396382616,0.29660451466668025,,,26363258,25149399,25709429,24545950
60,120,8,6,none,df -> iso -> ss,2252728.3044282156,457.22944655126054,38296.38117527967,24545950.0,90950.49396382616,0.29660451466668025,,,26363258,25149399,25709429,24545950
60,120,8,6,none,ss -> iso -> df,2252728.3044282156,457.22944655126054,38296.38117527967,24545950.0,90950.49396382616,0.29660451466668025,,,26363258,25149399,25709429,24545950
60,120,8,6,none,df -> ss -> iso,2252728.3044282156,457.22944655126054,38296.38117527967,24545950.0,90950.49396382616,0.29660451466668025,,,26363258,25149399,25709429,24545950
60,120,8,6,df,iso -> df -> ss,2250679.5783202546,456.81362281315734,38261.55283144433,24545950.0,90950.49396382616,0.296874504859327,21950.089266297597,,26363258,25149399,25709429,24545950
60,120,8,6,df,df -> iso -> ss,2250679.5783202546,456.81362281315734,38261.55283144433,24545950.0,90950.49396382616,0.296874504859327,21950.089266297597,,26363258,25149399,25709429,24545950
60,120,8,6,df,ss -> iso -> df,2250679.5783202546,456.81362281315734,38261.55283144433,24545950.0,90950.49396382616,0.296874504859327,21950.089266297597,,26363258,25149399,25709429,24545950
60,120,8,6,df,df -> ss -> iso,2250679.5783202546,456.81362281315734,38261.55283144433,24545950.0,90950.49396382616,0.296874504859327,21950.089266297597,,26363258,25149399,25709429,24545950
60,120,8,6,ss,iso -> df -> ss,2252483.261994467,457.2047617298073,38292.21545390594,24543289.88666787,90950.49396382616,0.29660451466668025,,2660.113332130635,26363258,25149399,25709429,24545950
60,120,8,6,ss,df -> iso -> ss,2252483.261994467,457.2047617298073,38292.21545390594,24543289.88666787,90950.49396382616,0.29660451466668025,,2660.113332130635,26363258,25149399,25709429,24545950
60,120,8,6,ss,ss -> iso -> df,2252483.261994467,457.2047617298073,38292.21545390594,24543289.88666787,90950.49396382616,0.29660451466668025,,2660.113332130635,26363258,25149399,25709429,24545950
60,120,8,6,ss,df -> ss -> iso,2252483.261994467,457.2047617298073,38292.21545390594,24543289.88666787,90950.49396382616,0.29660451466668025,,2660.113332130635,26363258,25149399,25709429,24545950
60,120,8,6,df+ss,iso -> df -> ss,2250434.7587384274,456.78896044112156,38257.39089855327,24543289.88666787,90950.49396382616,0.296874504859327,21950.089266297597,2660.113332130635,26363258,25149399,25709429,24545950
60,120,8,6,df+ss,df -> iso -> ss,2250434.7587384274,456.78896044112156,38257.39089855327,24543289.88666787,90950.49396382616,0.296874504859327,21950.089266297597,2660.113332130635,26363258,25149399,25709429,24545950
60,120,8,6,df+ss,ss -> iso -> df,2250434.7587384274,456.78896044112156,38257.39089855327,24543289.88666787,90950.49396382616,0.296874504859327,21950.089266297597,2660.113332130635,26363258,25149399,25709429,24545950
60,120,8,6,df+ss,df -> ss -> iso,2250434.7587384274,456.78896044112156,38257.39089855327,24543289.88666787,90950.49396382616,0.296874504859327,21950.089266297597,2660.113332130635,26363258,25149399,25709429,24545950
60,120,8,7,none,iso -> df -> ss,2253194.7306303806,455.8063084985403,38304.31042071647,24709834.0,91603.94294807433,0.2985224611914882,,,26363258,25149399,25881241,24709834
60,120,8,7,none,df -> iso -> ss,2253194.7306303806,455.8063084985403,38304.31042071647,24709834.0,91603.94294807433,0.2985224611914882,,,26363258,25149399,25881241,24709834
60,120,8,7,none,ss -> iso -> df,2253194.7306303806,455.8063084985403,38304.31042071647,24709834.0,91603.94294807433,0.2985224611914882,,,26363258,25149399,25881241,24709834
60,120,8,7,none,df -> ss -> iso,2253194.7306303806,455.8063084985403,38304.31042071647,24709834.0,91603.94294807433,0.2985224611914882,,,26363258,25149399,25881241,24709834
60,120,8,7,df,iso -> df -> ss,2251118.1748017846,455.3862350651364,38269.00897163034,24709834.0,91603.94294807433,0.29879783480967176,22387.759501409804,,26363258,25149399,25881241,24709834
60,120,8,7,df,df -> iso -> ss,2251118.1748017846,455.3862350651364,38269.00897163034,24709834.0,91603.94294807433,0.29879783480967176,22387.759501409804,,26363258,25149399,25881241,24709834
60,120,8,7,df,ss -> iso -> df,2251118.1748017846,455.3862350651364,38269.00897163034,24709834.0,91603.94294807433,0.29879783480967176,22387.759501409804,,26363258,25149399,25881241,24709834
60,120,8,7,df,df -> ss -> iso,2251118.1748017846,455.3862350651364,38269.00897163034,24709834.0,91603.94294807433,0.29879783480967176,22387.759501409804,,26363258,25149399,25881241,24709834
60,120,8,7,ss,iso -> df -> ss,2252938.6185008613,455.78059424205213,38299.95651451465,24707035.738829233,91603.94294807433,0.2985224611914882,,2798.2611707680626,26363258,25149399,25881241,24709834
60,120,8,7,ss,df -> iso -> ss,2252938.6185008613,455.78059424205213,38299.95651451465,24707035.738829233,91603.94294807433,0.2985224611914882,,2798.2611707680626,26363258,25149399,25881241,24709834
60,120,8,7,ss,ss -> iso -> df,2252938.6185008613,455.78059424205213,38299.95651451465,24707035.738829233,91603.94294807433,0.2985224611914882,,2798.2611707680626,26363258,25149399,25881241,24709834
60,120,8,7,ss,df -> ss -> iso,2252938.6185008613,455.78059424205213,38299.95651451465,24707035.738829233,91603.94294807433,0.2985224611914882,,2798.2611707680626,26363258,25149399,25881241,24709834
60,120,8,7,df+ss,iso -> df -> ss,2250862.2987065185,455.360544507039,38264.659078010816,24707035.738829233,91603.94294807433,0.29879783480967176,22387.759501409804,2798.2611707680626,26363258,25149399,25881241,24709834
60,120,8,7,df+ss,df -> iso -> ss,2250862.2987065185,455.360544507039,38264.659078010816,24707035.738829233,91603.94294807433,0.29879783480967176,22387.759501409804,2798.2611707680626,26363258,25149399,25881241,24709834
60,120,8,7,df+ss,ss -> iso -> df,2250862.2987065185,455.360544507039,38264.659078010816,24707035.738829233,91603.94294807433,0.29879783480967176,22387.759501409804,2798.2611707680626,26363258,25149399,25881241,24709834
60,120,8,7,df+ss,df -> ss -> iso,2250862.2987065185,455.360544507039,38264.659078010816,24707035.738829233,91603.94294807433,0.29879783480967176,22387.759501409804,2798.2611707680626,26363258,25149399,25881241,24709834
60,120,9,5,none,iso -> df -> ss,2253357.8624155684,460.0726424803791,38307.083661064666,24256367.0,89647.63836597068,0.29302619426163645,,,26363258,25149399,25406311,24256367
60,120,9,5,none,df -> iso -> ss,2253357.8624155684,460.0726424803791,38307.083661064666,24256367.0,89647.63836597068,0.29302619426163645,,,26363258,25149399,25406311,24256367
60,120,9,5,none,ss -> iso -> df,2253357.8624155684,460.0726424803791,38307.083661064666,24256367.0,89647.63836597068,0.29302619426163645,,,26363258,25149399,25406311,24256367
60,120,9,5,none,df -> ss -> iso,2253357.8624155684,460.0726424803791,38307.083661064666,24256367.0,89647.63836597068,0.29302619426163645,,,26363258,25149399,25406311,24256367
60,120,9,5,df,iso -> df -> ss,2251300.604950017,459.6526080534354,38272.11028415029,24256367.0,89647.63836597068,0.2932939640674196,21769.572746851598,,26363258,25149399,25406311,24256367
60,120,9,5,df,df -> iso -> ss,2251300.604950017,459.6526080534354,38272.11028415029,24256367.0,89647.63836597068,0.2932939640674196,21769.572746851598,,26363258,25149399,25406311,24256367
60,120,9,5,df,ss -> iso -> df,2251300.604950017,459.6526080534354,38272.11028415029,24256367.0,89647.63836597068,0.2932939640674196,21769.572746851598,,26363258,25149399,25406311,24256367
60,120,9,5,df,df -> ss -> iso,2251300.604950017,459.6526080534354,38272.11028415029,24256367.0,89647.63836597068,0.2932939640674196,21769.572746851598,,26363258,25149399,25406311,24256367
60,120,9,5,ss,iso -> df -> ss,2253113.470020474,460.0478765047154,38302.92899034806,24253745.950532056,89647.63836597068,0.29302619426163645,,2621.0494679421245,26363258,25149399,25406311,24256367
60,120,9,5,ss,df -> iso -> ss,2253113.470020474,460.0478765047154,38302.92899034806,24253745.950532056,89647.63836597068,0.29302619426163645,,2621.0494679421245,26363258,25149399,25406311,24256367
60,120,9,5,ss,ss -> iso -> df,2253113.470020474,460.0478765047154,38302.92899034806,24253745.950532056,89647.63836597068,0.29302619426163645,,2621.0494679421245,26363258,25149399,25406311,24256367
60,120,9,5,ss,df -> ss -> iso,2253113.470020474,460.0478765047154,38302.92899034806,24253745.950532056,89647.63836597068,0.29302619426163645,,2621.0494679421245,26363258,25149399,25406311,24256367
60,120,9,5,df+ss,iso -> df -> ss,2251056.4356788597,459.6278646884671,38267.95940654062,24253745.950532056,89647.63836597068,0.2932939640674196,21769.572746851598,2621.0494679421245,26363258,25149399,25406311,24256367
60,120,9,5,df+ss,df -> iso -> ss,2251056.4356788597,459.6278646884671,38267.95940654062,24253745.950532056,89647.63836597068,0.2932939640674196,21769.572746851598,2621.0494679421245,26363258,25149399,25406311,24256367
60,120,9,5,df+ss,ss -> iso -> df,2251056.4356788597,459.6278646884671,38267.95940654062,24253745.950532056,89647.63836597068,0.2932939640674196,21769.572746851598,2621.0494679421245,26363258,25149399,25406311,24256367
60,120,9,5,df+ss,df -> ss -> iso,2251056.4356788597,459.6278646884671,38267.95940654062,24253745.950532056,89647.63836597068,0.2932939640674196,21769.572746851598,2621.0494679421245,26363258,25149399,25406311,24256367
60,120,9,6,none,iso -> df -> ss,2253743.2971789264,457.32893195713916,38313.63605204175,24557279.0,90956.78353425901,0.2966082028598896,,,26363258,25149399,25721743,24557279
60,120,9,6,none,df -> iso -> ss,2253743.2971789264,457.32893195713916,38313.63605204175,24557279.0,90956.78353425901,0.2966082028598896,,,26363258,25149399,25721743,24557279
60,120,9,6,none,ss -> iso -> df,2253743.2971789264,457.32893195713916,38313.63605204175,24557279.0,90956.78353425901,0.2966082028598896,,,26363258,25149399,25721743,24557279
60,120,9,6,none,df -> ss -> iso,2253743.2971789264,457.32893195713916,38313.63605204175,24557279.0,90956.78353425901,0.2966082028598896,,,26363258,25149399,25721743,24557279
60,120,9,6,df,iso -> df -> ss,2251640.5434732847,456.90224178902037,38277.88923904584,24557279.0,90956.78353425901,0.2968851982264436,22519.606962784368,,26363258,25149399,25721743,24557279
60,120,9,6,df,df -> iso -> ss,2251640.5434732847,456.90224178902037,38277.88923904584,24557279.0,90956.78353425901,0.2968851982264436,22519.606962784368,,26363258,25149399,25721743,24557279
60,120,9,6,df,ss -> iso -> df,2251640.5434732847,456.90224178902037,38277.88923904584,24557279.0,90956.78353425901,0.2968851982264436,22519.606962784368,,26363258,25149399,25721743,24557279
60,120,9,6,df,df -> ss -> iso,2251640.5434732847,456.90224178902037,38277.88923904584,24557279.0,90956.78353425901,0.2968851982264436,22519.606962784368,,26363258,25149399,25721743,24557279
60,120,9,6,ss,iso -> df -> ss,2253480.906027049,457.30250550760485,38309.175402459834,24554430.518331025,90956.78353425901,0.2966082028598896,,2848.4816689753416,26363258,25149399,25721743,24557279
60,120,9,6,ss,df -> iso -> ss,2253480.906027049,457.30250550760485,38309.175402459834,24554430.518331025,90956.78353425901,0.2966082028598896,,2848.4816689753416,26363258,25149399,25721743,24557279
60,120,9,6,ss,ss -> iso -> df,2253480.906027049,457.30250550760485,38309.175402459834,24554430.518331025,90956.78353425901,0.2966082028598896,,2848.4816689753416,26363258,25149399,25721743,24557279
60,120,9,6,ss,df -> ss -> iso,2253480.906027049,457.30250550760485,38309.175402459834,24554430.518331025,90956.78353425901,0.2966082028598896,,2848.4816689753416,26363258,25149399,25721743,24557279
60,120,9,6,df+ss,iso -> df -> ss,2251378.397133657,456.87583999549486,38273.432751272165,24554430.518331025,90956.78353425901,0.2968851982264436,22519.606962784368,2848.4816689753416,26363258,25149399,25721743,24557279
60,120,9,6,df+ss,df -> iso -> ss,2251378.397133657,456.87583999549486,38273.432751272165,24554430.518331025,90956.78353425901,0.2968851982264436,22519.606962784368,2848.4816689753416,26363258,25149399,25721743,24557279
60,120,9,6,df+ss,ss -> iso -> df,2251378.397133657,456.87583999549486,38273.432751272165,24554430.518331025,90956.78353425901,0.2968851982264436,22519.606962784368,2848.4816689753416,26363258,25149399,25721743,24557279
60,120,9,6,df+ss,df -> ss -> iso,2251378.397133657,456.87583999549486,38273.432751272165,24554430.518331025,90956.78353425901,0.2968851982264436,22519.606962784368,2848.4816689753416,26363258,25149399,25721743,24557279
60,120,9,7,none,iso -> df -> ss,2254266.2080628932,455.91084434283925,38322.52553706919,24721888.0,91611.49325651053,0.2985265768941575,,,26363258,25149399,25894369,24721888
60,120,9,7,none,df -> iso -> ss,2254266.2080628932,455.91084434283925,38322.52553706919,24721888.0,91611.49325651053,0.2985265768941575,,,26363258,25149399,25894369,24721888
60,120,9,7,none,ss -> iso -> df,2254266.2080628932,455.91084434283925,38322.52553706919,24721888.0,91611.49325651053,0.2985265768941575,,,26363258,25149399,25894369,24721888
60,120,9,7,none,df -> ss -> iso,2254266.2080628932,455.91084434283925,38322.52553706919,24721888.0,91611.49325651053,0.2985265768941575,,,26363258,25149399,25894369,24721888
60,120,9,7,df,iso -> df -> ss,2252132.1849701577,455.4792518953384,38286.247144492685,24721888.0,91611.49325651053,0.2988094477723142,22997.283588373786,,26363258,25149399,25894369,24721888
60,120,9,7,df,df -> iso -> ss,2252132.1849701577,455.4792518953384,38286.247144492685,24721888.0,91611.49325651053,0.2988094477723142,22997.283588373786,,26363258,25149399,25894369,24721888
60,120,9,7,df,ss -> iso -> df,2252132.1849701577,455.4792518953384,38286.247144492685,24721888.0,91611.49325651053,0.2988094477723142,22997.283588373786,,26363258,25149399,25894369,24721888
60,120,9,7,df,df -> ss -> iso,2252132.1849701577,455.4792518953384,38286.247144492685,24721888.0,91611.49325651053,0.2988094477723142,22997.283588373786,,26363258,25149399,25894369,24721888
60,120,9,7,ss,iso -> df -> ss,2253991.4280053643,455.88326243247496,38317.854276091195,24718885.73311099,91611.49325651053,0.2985265768941575,,3002.266889010937,26363258,25149399,25894369,24721888
60,120,9,7,ss,df -> iso -> ss,2253991.4280053643,455.88326243247496,38317.854276091195,24718885.73311099,91611.49325651053,0.2985265768941575,,3002.266889010937,26363258,25149399,25894369,24721888
60,120,9,7,ss,ss -> iso -> df,2253991.4280053643,455.88326243247496,38317.854276091195,24718885.73311099,91611.49325651053,0.2985265768941575,,3002.266889010937,26363258,25149399,25894369,24721888
60,120,9,7,ss,df -> ss -> iso,2253991.4280053643,455.88326243247496,38317.854276091195,24718885.73311099,91611.49325651053,0.2985265768941575,,3002.266889010937,26363258,25149399,25894369,24721888
60,120,9,7,df+ss,iso -> df -> ss,2251857.66503585,455.45169609565863,38281.58030560945,24718885.73311099,91611.49325651053,0.2988094477723142,22997.283588373786,3002.266889010937,26363258,25149399,25894369,24721888
60,120,9,7,df+ss,df -> iso -> ss,2251857.66503585,455.45169609565863,38281.58030560945,24718885.73311099,91611.49325651053,0.2988094477723142,22997.283588373786,3002.266889010937,26363258,25149399,25894369,24721888
60,120,9,7,df+ss,ss -> iso -> df,2251857.66503585,455.45169609565863,38281.58030560945,24718885.73311099,91611.49325651053,0.2988094477723142,22997.283588373786,3002.266889010937,26363258,25149399,25894369,24721888
60,120,9,7,df+ss,df -> ss -> iso,2251857.66503585,455.45169609565863,38281.58030560945,24718885.73311099,91611.49325651053,0.2988094477723142,22997.283588373786,3002.266889010937,26363258,25149399,25894369,24721888
60,120,10,5,none,iso -> df -> ss,2253957.3989110216,460.13237469481936,38317.27578148737,24262911.0,89650.33319223342,0.29302754490273225,,,26363258,25149399,25413480,24262911
60,120,10,5,none,df -> iso -> ss,2253957.3989110216,460.13237469481936,38317.27578148737,24262911.0,89650.33319223342,0.29302754490273225,,,26363258,25149399,25413480,24262911
60,120,10,5,none,ss -> iso -> df,2253957.3989110216,460.13237469481936,38317.27578148737,24262911.0,89650.33319223342,0.29302754490273225,,,26363258,25149399,25413480,24262911
60,120,10,5,none,df -> ss -> iso,2253957.3989110216,460.13237469481936,38317.27578148737,24262911.0,89650.33319223342,0.29302754490273225,,,26363258,25149399,25413480,24262911
60,120,10,5,df,iso -> df -> ss,2251863.2409334285,459.7048644483163,38281.67509586829,24262911.0,89650.33319223342,0.2933000507812678,22154.613472472964,,26363258,25149399,25413480,24262911
60,120,10,5,df,df -> iso -> ss,2251863.2409334285,459.7048644483163,38281.67509586829,24262911.0,89650.33319223342,0.2933000507812678,22154.613472472964,,26363258,25149399,25413480,24262911
60,120,10,5,df,ss -> iso -> df,2251863.2409334285,459.7048644483163,38281.67509586829,24262911.0,89650.33319223342,0.2933000507812678,22154.613472472964,,26363258,25149399,25413480,24262911
60,120,10,5,df,df -> ss -> iso,2251863.2409334285,459.7048644483163,38281.67509586829,24262911.0,89650.33319223342,0.2933000507812678,22154.613472472964,,26363258,25149399,25413480,24262911
60,120,10,5,ss,iso -> df -> ss,2253699.9537958256,460.10628946618004,38312.89921452904,24260149.950532056,89650.33319223342,0.29302754490273225,,2761.0494679421245,26363258,25149399,25413480,24262911
60,120,10,5,ss,df -> iso -> ss,2253699.9537958256,460.10628946618004,38312.89921452904,24260149.950532056,89650.33319223342,0.29302754490273225,,2761.0494679421245,26363258,25149399,25413480,24262911
60,120,10,5,ss,ss -> iso -> df,2253699.9537958256,460.10628946618004,38312.89921452904,24260149.950532056,89650.33319223342,0.29302754490273225,,2761.0494679421245,26363258,25149399,25413480,24262911
60,120,10,5,ss,df -> ss -> iso,2253699.9537958256,460.10628946618004,38312.89921452904,24260149.950532056,89650.33319223342,0.29302754490273225,,2761.0494679421245,26363258,25149399,25413480,24262911
60,120,10,5,df+ss,iso -> df -> ss,2251606.035011193,459.67880345553414,38277.30259519028,24260149.950532056,89650.33319223342,0.2933000507812678,22154.613472472964,2761.0494679421245,26363258,25149399,25413480,24262911
60,120,10,5,df+ss,df -> iso -> ss,2251606.035011193,459.67880345553414,38277.30259519028,24260149.950532056,89650.33319223342,0.2933000507812678,22154.613472472964,2761.0494679421245,26363258,25149399,25413480,24262911
60,120,10,5,df+ss,ss -> iso -> df,2251606.035011193,459.67880345553414,38277.30259519028,24260149.950532056,89650.33319223342,0.2933000507812678,22154.613472472964,2761.0494679421245,26363258,25149399,25413480,24262911
60,120,10,5,df+ss,df -> ss -> iso,2251606.035011193,459.67880345553414,38277.30259519028,24260149.950532056,89650.33319223342,0.2933000507812678,22154.613472472964,2761.0494679421245,26363258,25149399,25413480,24262911
60,120,10,6,none,iso -> df -> ss,2254385.2025064025,457.392477085894,38324.548442608844,24564372.0,90959.47836052174,0.29660967989206766,,,26363258,25149399,25729532,24564372
60,120,10,6,none,df -> iso -> ss,2254385.2025064025,457.392477085894,38324.548442608844,24564372.0,90959.47836052174,0.29660967989206766,,,26363258,25149399,25729532,24564372
60,120,10,6,none,ss -> iso -> df,2254385.2025064025,457.392477085894,38324.548442608844,24564372.0,90959.47836052174,0.29660967989206766,,,26363258,25149399,25729532,24564372
60,120,10,6,none,df -> ss -> iso,2254385.2025064025,457.392477085894,38324.548442608844,24564372.0,90959.47836052174,0.29660967989206766,,,26363258,25149399,25729532,24564372
60,120,10,6,df,iso -> df -> ss,2252239.3872457705,456.95711237699777,38288.069583178105,24564372.0,90959.47836052174,0.29689227399870116,22974.78217977914,,26363258,25149399,25729532,24564372
60,120,10,6,df,df -> iso -> ss,2252239.3872457705,456.95711237699777,38288.069583178105,24564372.0,90959.47836052174,0.29689227399870116,22974.78217977914,,26363258,25149399,25729532,24564372
60,120,10,6,df,ss -> iso -> df,2252239.3872457705,456.95711237699777,38288.069583178105,24564372.0,90959.47836052174,0.29689227399870116,22974.78217977914,,26363258,25149399,25729532,24564372
60,120,10,6,df,df -> ss -> iso,2252239.3872457705,456.95711237699777,38288.069583178105,24564372.0,90959.47836052174,0.29689227399870116,22974.78217977914,,26363258,25149399,25729532,24564372
60,120,10,6,ss,iso -> df -> ss,2254108.540042483,457.364617282423,38319.84518072221,24561368.576006074,90959.47836052174,0.29660967989206766,,3003.4239939276504,26363258,25149399,25729532,24564372
60,120,10,6,ss,df -> iso -> ss,2254108.540042483,457.364617282423,38319.84518072221,24561368.576006074,90959.47836052174,0.29660967989206766,,3003.4239939276504,26363258,25149399,25729532,24564372
60,120,10,6,ss,ss -> iso -> df,2254108.540042483,457.364617282423,38319.84518072221,24561368.576006074,90959.47836052174,0.29660967989206766,,3003.4239939276504,26363258,25149399,25729532,24564372
60,120,10,6,ss,df -> ss -> iso,2254108.540042483,457.364617282423,38319.84518072221,24561368.576006074,90959.47836052174,0.29660967989206766,,3003.4239939276504,26363258,25149399,25729532,24564372
60,120,10,6,df+ss,iso -> df -> ss,2251962.988120404,456.92927909161756,38283.370798046875,24561368.576006074,90959.47836052174,0.29689227399870116,22974.78217977914,3003.4239939276504,26363258,25149399,25729532,24564372
60,120,10,6,df+ss,df -> iso -> ss,2251962.988120404,456.92927909161756,38283.370798046875,24561368.576006074,90959.47836052174,0.29689227399870116,22974.78217977914,3003.4239939276504,26363258,25149399,25729532,24564372
60,120,10,6,df+ss,ss -> iso -> df,2251962.988120404,456.92927909161756,38283.370798046875,24561368.576006074,90959.47836052174,0.29689227399870116,22974.78217977914,3003.4239939276504,26363258,25149399,25729532,24564372
60,120,10,6,df+ss,df -> ss -> iso,2251962.988120404,456.92927909161756,38283.370798046875,24561368.576006074,90959.47836052174,0.29689227399870116,22974.78217977914,3003.4239939276504,26363258,25149399,25729532,24564372
60,120,10,7,none,iso -> df -> ss,2254938.688271682,455.9771237802086,38333.957700618594,24729374.0,91614.18808277324,0.298528221584212,,,26363258,25149399,25902605,24729374
60,120,10,7,none,df -> iso -> ss,2254938.688271682,455.9771237802086,38333.957700618594,24729374.0,91614.18808277324,0.298528221584212,,,26363258,25149399,25902605,24729374
60,120,10,7,none,ss -> iso -> df,2254938.688271682,455.9771237802086,38333.957700618594,24729374.0,91614.18808277324,0.298528221584212,,,26363258,25149399,25902605,24729374
60,120,10,7,none,df -> ss -> iso,2254938.688271682,455.9771237802086,38333.957700618594,24729374.0,91614.18808277324,0.298528221584212,,,26363258,25149399,25902605,24729374
60,120,10,7,df,iso -> df -> ss,2252757.6902570818,455.53609839586437,38296.880734370396,24729374.0,91614.18808277324,0.2988172404438049,23497.111896985778,,26363258,25149399,25902605,24729374
60,120,10,7,df,df -> iso -> ss,2252757.6902570818,455.53609839586437,38296.880734370396,24729374.0,91614.18808277324,0.2988172404438049,23497.111896985778,,26363258,25149399,25902605,24729374
60,120,10,7,df,ss -> iso -> df,2252757.6902570818,455.53609839586437,38296.880734370396,24729374.0,91614.18808277324,0.2988172404438049,23497.111896985778,,26363258,25149399,25902605,24729374
60,120,10,7,df,df -> ss -> iso,2252757.6902570818,455.53609839586437,38296.880734370396,24729374.0,91614.18808277324,0.2988172404438049,23497.111896985778,,26363258,25149399,25902605,24729374
60,120,10,7,ss,iso -> df -> ss,2254648.172931981,455.9479667407418,38329.01893984368,24726199.790786035,91614.18808277324,0.298528221584212,,3174.2092139632455,26363258,25149399,25902605,24729374
60,120,10,7,ss,df -> iso -> ss,2254648.172931981,455.9479667407418,38329.01893984368,24726199.790786035,91614.18808277324,0.298528221584212,,3174.2092139632455,26363258,25149399,25902605,24729374
60,120,10,7,ss,ss -> iso -> df,2254648.172931981,455.9479667407418,38329.01893984368,24726199.790786035,91614.18808277324,0.298528221584212,,3174.2092139632455,26363258,25149399,25902605,24729374
60,120,10,7,ss,df -> ss -> iso,2254648.172931981,455.9479667407418,38329.01893984368,24726199.790786035,91614.18808277324,0.298528221584212,,3174.2092139632455,26363258,25149399,25902605,24729374
60,120,10,7,df+ss,iso -> df -> ss,2252467.4559065634,455.50696955736174,38291.94675041158,24726199.790786035,91614.18808277324,0.2988172404438049,23497.111896985778,3174.2092139632455,26363258,25149399,25902605,24729374
60,120,10,7,df+ss,df -> iso -> ss,2252467.4559065634,455.50696955736174,38291.94675041158,24726199.790786035,91614.18808277324,0.2988172404438049,23497.111896985778,3174.2092139632455,26363258,25149399,25902605,24729374
60,120,10,7,df+ss,ss -> iso -> df,2252467.4559065634,455.50696955736174,38291.94675041158,24726199.790786035,91614.18808277324,0.2988172404438049,23497.111896985778,3174.2092139632455,26363258,25149399,25902605,24729374
60,120,10,7,df+ss,df -> ss -> iso,2252467.4559065634,455.50696955736174,38291.94675041158,24726199.790786035,91614.18808277324,0.2988172404438049,23497.111896985778,3174.2092139632455,26363258,25149399,25902605,24729374
66,116,8,5,none,iso -> df -> ss,2253931.563705918,462.9287064052438,38316.83658300061,23914019.0,69701.715673922,0.2890434160900397,,,26363258,24783058,25394841,23914019
