ptcut,etcut,mode,order,mlow,mhigh,sigma_fb,unc_stat_fb,unc_lumi_fb,N_selected,N_background,eff,delta_df,delta_ss,data_n_total,data_n_after_mass,data_n_after_iso,data_n_after_mass_and_iso
2,15,df+ss,iso -> df -> ss,66,116,2231695.465960631,461.663615438782,37938.822921330735,23572253.711674076,68401.87660373465,0.2877550964827445,14647.64193717578,989.2883259256242,26363258,24783058,25034257,23573243
3,2,none,iso -> df -> ss,66,116,2227791.6654105126,510.9379927560599,37872.45831197872,19176066.0,55118.92737359363,0.2345058813161956,,,26363258,24783058,20368179,19176066
3,2,df,iso -> df -> ss,66,116,2226379.6685285824,510.6141550903425,37848.454364985904,19176066.0,55118.92737359363,0.23465460777911357,12091.398970114911,,26363258,24783058,20368179,19176066
3,2,ss,iso -> df -> ss,66,116,2227712.1826043907,510.92893033941107,37871.10710427464,19175383.80581073,55118.92737359363,0.2345058813161956,,682.1941892687868,26363258,24783058,20368179,19176066
3,2,df+ss,iso -> df -> ss,66,116,2226300.2360994667,510.605098417545,37847.104013690936,19175383.80581073,55118.92737359363,0.23465460777911357,12091.398970114911,682.1941892687868,26363258,24783058,20368179,19176066
3,3,none,iso -> df -> ss,66,116,2237116.764999888,481.90045389710997,38030.985004998096,21738399.0,62786.70810876209,0.2647290715023424,,,26363258,24783058,23083335,21738399
3,3,df,iso -> df -> ss,66,116,2235687.7404750963,481.5926257238553,38006.69158807664,21738399.0,62786.70810876209,0.2648982831184162,13756.833317922472,,26363258,24783058,23083335,21738399
3,3,ss,iso -> df -> ss,66,116,2237033.9633033727,481.8915869691963,38029.57737615734,21737596.727405712,62786.70810876209,0.2647290715023424,,802.2725942873503,26363258,24783058,23083335,21738399
3,3,df+ss,iso -> df -> ss,66,116,2235604.991670614,481.5837644599541,38005.284858400446,21737596.727405712,62786.70810876209,0.2648982831184162,13756.833317922472,802.2725942873503,26363258,24783058,23083335,21738399
3,4,none,iso -> df -> ss,66,116,2239349.401321476,469.6829169920115,38068.939822465094,22930929.0,66627.3121547581,0.278968389667358,,,26363258,24783058,24347376,22930929
3,4,df,iso -> df -> ss,66,116,2237933.903140108,469.38602928238055,38044.87635338184,22930929.0,66627.3121547581,0.279144837795553,14345.158714037272,,26363258,24783058,24347376,22930929
3,4,ss,iso -> df -> ss,66,116,2239263.9883993696,469.67401152178286,38067.487802789285,22930056.913304675,66627.3121547581,0.278968389667358,,872.0866953261927,26363258,24783058,24347376,22930929
